account_id,division,event_month,movement_type,arr_change,fiscal_quarter
5155,ActiveDisclosure,2024-09-01,New,64868.10546055714,FY2024-Q3
5155,ActiveDisclosure,2025-09-01,Renewal,0.0,FY2025-Q3
5023,ActiveDisclosure,2024-09-01,New,113258.87822679288,FY2024-Q3
5023,ActiveDisclosure,2025-09-01,Expansion,8056.466172918465,FY2025-Q3
5375,ActiveDisclosure,2024-09-01,New,74231.76270433275,FY2024-Q3
5375,ActiveDisclosure,2025-09-01,Renewal,0.0,FY2025-Q3
5375,ActiveDisclosure,2026-02-01,Churn,-74231.76270433275,FY2026-Q1
5266,ActiveDisclosure,2024-10-01,New,97255.86352164399,FY2024-Q4
5266,ActiveDisclosure,2025-10-01,Renewal,0.0,FY2025-Q4
5087,ActiveDisclosure,2024-10-01,New,64598.319276956565,FY2024-Q4
5087,ActiveDisclosure,2025-10-01,Renewal,0.0,FY2025-Q4
5052,ActiveDisclosure,2024-10-01,New,66481.3210991381,FY2024-Q4
5052,ActiveDisclosure,2025-10-01,Renewal,0.0,FY2025-Q4
5050,ActiveDisclosure,2024-10-01,New,84613.97067171421,FY2024-Q4
5050,ActiveDisclosure,2025-10-01,Renewal,0.0,FY2025-Q4
5105,ActiveDisclosure,2024-10-01,New,86164.22626727769,FY2024-Q4
5105,ActiveDisclosure,2025-10-01,Renewal,0.0,FY2025-Q4
5178,ActiveDisclosure,2024-10-01,New,65512.47738657089,FY2024-Q4
5178,ActiveDisclosure,2025-10-01,Expansion,9658.021846775244,FY2025-Q4
5190,ActiveDisclosure,2024-10-01,New,20000.0,FY2024-Q4
5190,ActiveDisclosure,2025-10-01,Renewal,0.0,FY2025-Q4
5448,ActiveDisclosure,2024-10-01,New,64324.91248265628,FY2024-Q4
5448,ActiveDisclosure,2025-10-01,Renewal,0.0,FY2025-Q4
5282,ActiveDisclosure,2024-11-01,New,83078.75528528015,FY2024-Q4
5282,ActiveDisclosure,2025-11-01,Contraction,-7138.848637853371,FY2025-Q4
5022,ActiveDisclosure,2024-11-01,New,68517.00238666845,FY2024-Q4
5022,ActiveDisclosure,2025-11-01,Renewal,0.0,FY2025-Q4
5049,ActiveDisclosure,2024-11-01,New,78036.4281488046,FY2024-Q4
5049,ActiveDisclosure,2025-11-01,Renewal,0.0,FY2025-Q4
5058,ActiveDisclosure,2024-11-01,New,73950.84120546117,FY2024-Q4
5058,ActiveDisclosure,2025-11-01,Contraction,-4616.178569567564,FY2025-Q4
5207,ActiveDisclosure,2024-11-01,New,36429.82083493846,FY2024-Q4
5207,ActiveDisclosure,2025-11-01,Renewal,0.0,FY2025-Q4
5454,ActiveDisclosure,2024-11-01,New,87421.97721606492,FY2024-Q4
5454,ActiveDisclosure,2025-11-01,Renewal,0.0,FY2025-Q4
5169,ActiveDisclosure,2024-12-01,New,55238.20339331405,FY2024-Q4
5169,ActiveDisclosure,2025-12-01,Renewal,0.0,FY2025-Q4
5121,ActiveDisclosure,2024-12-01,New,56965.56331310866,FY2024-Q4
5121,ActiveDisclosure,2025-12-01,Expansion,14653.567638501569,FY2025-Q4
5444,ActiveDisclosure,2024-12-01,New,81000.9724780655,FY2024-Q4
5444,ActiveDisclosure,2025-12-01,Contraction,-10205.81085653755,FY2025-Q4
5077,ActiveDisclosure,2024-12-01,New,51904.442490036876,FY2024-Q4
5077,ActiveDisclosure,2025-12-01,Expansion,8757.46071234745,FY2025-Q4
5021,ActiveDisclosure,2024-12-01,New,73758.6201501743,FY2024-Q4
5021,ActiveDisclosure,2025-12-01,Renewal,0.0,FY2025-Q4
5173,ActiveDisclosure,2024-12-01,New,49172.49726165205,FY2024-Q4
5173,ActiveDisclosure,2025-12-01,Renewal,0.0,FY2025-Q4
5302,ActiveDisclosure,2024-12-01,New,63874.42992933185,FY2024-Q4
5302,ActiveDisclosure,2025-05-01,Churn,-63874.42992933185,FY2025-Q2
5073,ActiveDisclosure,2024-12-01,New,59783.301632431096,FY2024-Q4
5073,ActiveDisclosure,2025-12-01,Renewal,0.0,FY2025-Q4
5157,ActiveDisclosure,2024-12-01,New,57836.63873350248,FY2024-Q4
5157,ActiveDisclosure,2025-12-01,Expansion,10751.353068867675,FY2025-Q4
5101,ActiveDisclosure,2025-01-01,New,50037.745707503505,FY2025-Q1
5101,ActiveDisclosure,2026-01-01,Expansion,18879.232959424844,FY2026-Q1
5183,ActiveDisclosure,2025-01-01,New,67007.28734470515,FY2025-Q1
5183,ActiveDisclosure,2026-01-01,Contraction,-9009.900121103856,FY2026-Q1
5061,ActiveDisclosure,2025-01-01,New,70669.211078695,FY2025-Q1
5061,ActiveDisclosure,2026-01-01,Expansion,9034.698040999396,FY2026-Q1
5166,ActiveDisclosure,2025-01-01,New,88370.96114949504,FY2025-Q1
5166,ActiveDisclosure,2026-01-01,Renewal,0.0,FY2026-Q1
5463,ActiveDisclosure,2025-01-01,New,55375.96668184083,FY2025-Q1
5463,ActiveDisclosure,2026-01-01,Renewal,0.0,FY2026-Q1
5323,ActiveDisclosure,2025-01-01,New,69159.46842101114,FY2025-Q1
5323,ActiveDisclosure,2026-01-01,Renewal,0.0,FY2026-Q1
5093,ActiveDisclosure,2025-01-01,New,116560.83291215307,FY2025-Q1
5093,ActiveDisclosure,2026-01-01,Renewal,0.0,FY2026-Q1
5100,ActiveDisclosure,2025-01-01,New,76620.08112842939,FY2025-Q1
5100,ActiveDisclosure,2026-01-01,Renewal,0.0,FY2026-Q1
5128,ActiveDisclosure,2025-01-01,New,78619.69540996142,FY2025-Q1
5128,ActiveDisclosure,2026-01-01,Renewal,0.0,FY2026-Q1
5413,ActiveDisclosure,2025-01-01,New,77533.34846434006,FY2025-Q1
5413,ActiveDisclosure,2026-01-01,Renewal,0.0,FY2026-Q1
5032,ActiveDisclosure,2025-01-01,New,30505.582727181078,FY2025-Q1
5032,ActiveDisclosure,2026-01-01,Renewal,0.0,FY2026-Q1
5381,ActiveDisclosure,2025-01-01,New,62634.022540321515,FY2025-Q1
5381,ActiveDisclosure,2026-01-01,Renewal,0.0,FY2026-Q1
5060,ActiveDisclosure,2025-01-01,New,20926.516591748754,FY2025-Q1
5060,ActiveDisclosure,2026-01-01,Renewal,0.0,FY2026-Q1
5216,ActiveDisclosure,2025-01-01,New,86949.09836696928,FY2025-Q1
5216,ActiveDisclosure,2026-01-01,Contraction,-11867.512529811722,FY2026-Q1
5339,ActiveDisclosure,2025-01-01,New,105406.25674802737,FY2025-Q1
5339,ActiveDisclosure,2026-01-01,Renewal,0.0,FY2026-Q1
5209,ActiveDisclosure,2025-02-01,New,56366.7343318167,FY2025-Q1
5209,ActiveDisclosure,2026-02-01,Renewal,0.0,FY2026-Q1
5286,ActiveDisclosure,2025-02-01,New,106796.51418386919,FY2025-Q1
5286,ActiveDisclosure,2025-08-01,Churn,-106796.51418386919,FY2025-Q3
5068,ActiveDisclosure,2025-02-01,New,43324.62779488306,FY2025-Q1
5068,ActiveDisclosure,2026-02-01,Contraction,-5302.254281169196,FY2026-Q1
5271,ActiveDisclosure,2025-02-01,New,41777.448329761115,FY2025-Q1
5271,ActiveDisclosure,2026-02-01,Renewal,0.0,FY2026-Q1
5299,ActiveDisclosure,2025-02-01,New,80160.10219051238,FY2025-Q1
