fiscal_quarter,division,total_sm_spend_t12m,new_logos_t12m,cac,arpu,gross_margin_pct,ltv,cac_payback_months,ltv_cac_ratio
FY2024-Q4,ActiveDisclosure,536610.3,22,24391.38,68000,0.74,718857.14,5.8,29.47
FY2025-Q1,ActiveDisclosure,843065.39,44,19160.58,68000,0.74,718857.14,4.6,37.52
FY2025-Q2,ActiveDisclosure,1134522.3,64,17726.91,68000,0.74,718857.14,4.2,40.55
FY2025-Q3,ActiveDisclosure,1129942.78,68,16616.81,68000,0.74,718857.14,4.0,43.26
FY2025-Q4,ActiveDisclosure,1123582.65,64,17555.98,68000,0.74,718857.14,4.2,40.95
FY2026-Q1,ActiveDisclosure,1123908.11,58,19377.73,68000,0.74,718857.14,4.6,37.1
FY2026-Q2,ActiveDisclosure,1127119.7,59,19103.72,68000,0.74,718857.14,4.6,37.63
FY2024-Q4,Arc Suite,454740.73,7,64962.96,60000,0.71,710000.0,18.3,10.93
FY2025-Q1,Arc Suite,725657.44,13,55819.8,60000,0.71,710000.0,15.7,12.72
FY2025-Q2,Arc Suite,982667.92,32,30708.37,60000,0.71,710000.0,8.7,23.12
FY2025-Q3,Arc Suite,977895.01,37,26429.59,60000,0.71,710000.0,7.4,26.86
FY2025-Q4,Arc Suite,986922.89,35,28197.8,60000,0.71,710000.0,7.9,25.18
FY2026-Q1,Arc Suite,985662.18,38,25938.48,60000,0.71,710000.0,7.3,27.37
FY2026-Q2,Arc Suite,986367.27,31,31818.3,60000,0.71,710000.0,9.0,22.31
FY2024-Q4,Venue,399595.69,103,3879.57,42000,0.62,65100.0,1.8,16.78
FY2025-Q1,Venue,633596.58,173,3662.41,42000,0.62,65100.0,1.7,17.78
FY2025-Q2,Venue,865621.0,226,3830.18,42000,0.62,65100.0,1.8,17.0
FY2025-Q3,Venue,867078.22,261,3322.14,42000,0.62,65100.0,1.5,19.6
FY2025-Q4,Venue,872020.58,257,3393.08,42000,0.62,65100.0,1.6,19.19
FY2026-Q1,Venue,872888.16,244,3577.41,42000,0.62,65100.0,1.6,18.2
FY2026-Q2,Venue,872986.08,249,3505.97,42000,0.62,65100.0,1.6,18.57
