account_id,account_name,segment,region,employee_count
5000,Osborn and Sons,Private Equity,West,50
5001,"Snyder, Campos and Callahan",Private Equity,Mid-Atlantic,3000
5002,Burton Ltd,Fund/Asset Manager,Texas/Central,1500
5003,Carlson-Cruz,Investment Bank,Mid-Atlantic,800
5004,"Ferrell, Rice and Maddox",Private Equity,Midwest,8000
5005,Frazier Inc,Large Cap Public,Mid-Atlantic,3000
5006,"Dyer, Potter and Mack",Investment Bank,Midwest,400
5007,Rodriguez-Graham,Mid Cap Public,Mid-Atlantic,8000
5008,Smith-Bowen,Pre-IPO / Private,Northeast,50
5009,"Baker, Mason and White",Investment Bank,Northeast,400
5010,Harrell LLC,Pre-IPO / Private,West,400
5011,"Romero, Gonzalez and Brooks",Large Cap Public,Texas/Central,800
5012,Ryan PLC,Private Equity,Northeast,800
5013,George Group,Large Cap Public,West,400
5014,Rodriguez LLC,Fund/Asset Manager,West,8000
5015,Allen-Allen,Pre-IPO / Private,West,150
5016,"Arroyo, Miller and Tucker",Fund/Asset Manager,Northeast,50
5017,Spence PLC,Fund/Asset Manager,Mid-Atlantic,8000
5018,Anderson Group,Pre-IPO / Private,Northeast,8000
5019,"Martin, Rose and Obrien",Mid Cap Public,Northeast,800
5020,Hickman Ltd,Pre-IPO / Private,Southeast,3000
5021,"Harris, Collins and Carney",Pre-IPO / Private,Mid-Atlantic,400
5022,"Brooks, Lam and Hayes",Pre-IPO / Private,Mid-Atlantic,3000
5023,Walker LLC,Pre-IPO / Private,Texas/Central,3000
5024,Chapman and Sons,Fund/Asset Manager,Northeast,1500
5025,"Robinson, Jones and Welch",Fund/Asset Manager,Mid-Atlantic,1500
5026,Jones Inc,Fund/Asset Manager,Mid-Atlantic,150
5027,Jones-Young,Investment Bank,Southeast,400
5028,"Washington, Ryan and Cummings",Fund/Asset Manager,Texas/Central,1500
5029,"Johnston, Sanchez and Kennedy",Mid Cap Public,Texas/Central,400
5030,Lee-Davis,Large Cap Public,Mid-Atlantic,8000
5031,Gomez-Jenkins,Large Cap Public,Midwest,800
5032,"Brown, Valdez and Lucas",Pre-IPO / Private,Northeast,150
5033,Powell LLC,Private Equity,Texas/Central,400
5034,Wright and Sons,Mid Cap Public,Texas/Central,800
5035,"West, Henderson and Ramirez",Investment Bank,Texas/Central,800
5036,Baxter Inc,Mid Cap Public,Midwest,150
5037,Morton-Chase,Mid Cap Public,Texas/Central,1500
5038,Williams PLC,Private Equity,Midwest,3000
5039,Novak and Sons,Private Equity,Southeast,1500
5040,Russell Group,Investment Bank,Midwest,150
5041,Hancock Inc,Mid Cap Public,West,800
5042,Gray Group,Large Cap Public,Northeast,8000
5043,House-Glover,Large Cap Public,Mid-Atlantic,3000
5044,Henderson-Bernard,Mid Cap Public,Texas/Central,800
5045,"Stanley, Tucker and Lee",Private Equity,Northeast,800
5046,Novak PLC,Investment Bank,West,800
5047,"Daniels, Adkins and Brown",Private Equity,Midwest,1500
5048,"Woods, Calhoun and Schmidt",Large Cap Public,Texas/Central,3000
5049,Yu Inc,Large Cap Public,Texas/Central,1500
5050,Jones Inc,Pre-IPO / Private,Texas/Central,400
5051,"Hensley, Powell and David",Large Cap Public,Midwest,800
5052,"Sanchez, Wheeler and Harvey",Mid Cap Public,Southeast,50
5053,Sandoval-Cunningham,Fund/Asset Manager,Texas/Central,400
5054,Donovan-Harris,Private Equity,Mid-Atlantic,1500
5055,"Edwards, Baker and Anderson",Large Cap Public,Texas/Central,400
5056,"Evans, Stewart and Walton",Fund/Asset Manager,West,1500
5057,Smith PLC,Mid Cap Public,Mid-Atlantic,400
5058,"Ferrell, Jones and Lewis",Mid Cap Public,West,8000
5059,Anderson-Bailey,Private Equity,Northeast,1500
5060,Suarez LLC,Pre-IPO / Private,Southeast,50
5061,Moore-Bass,Large Cap Public,Midwest,8000
5062,"Turner, Riggs and Roman",Pre-IPO / Private,Mid-Atlantic,50
5063,"Smith, Montoya and Evans",Mid Cap Public,West,50
5064,"Garcia, Humphrey and Baker",Large Cap Public,Texas/Central,800
5065,Newton and Sons,Large Cap Public,West,8000
5066,Campbell-Clark,Mid Cap Public,Mid-Atlantic,3000
5067,Harris-Walters,Investment Bank,West,150
5068,Wagner-King,Pre-IPO / Private,West,8000
5069,Davis Group,Private Equity,Southeast,150
5070,Williams-Cook,Private Equity,Texas/Central,3000
5071,Walsh LLC,Mid Cap Public,Texas/Central,400
5072,Figueroa PLC,Investment Bank,Texas/Central,3000
5073,"Patterson, Smith and Jones",Pre-IPO / Private,Southeast,1500
5074,"Mckee, Gardner and Davenport",Investment Bank,Northeast,150
5075,"Tran, Jordan and Williams",Mid Cap Public,Northeast,400
5076,Nolan-Flynn,Large Cap Public,West,1500
5077,Nolan and Sons,Mid Cap Public,West,150
5078,"Wright, Garcia and Deleon",Large Cap Public,Northeast,3000
5079,Dickson-Brady,Fund/Asset Manager,Northeast,150
5080,Hancock and Sons,Large Cap Public,Northeast,8000
5081,Johnson-Doyle,Pre-IPO / Private,Northeast,1500
5082,Patton-Jenkins,Mid Cap Public,Midwest,3000
5083,"Shields, Cochran and Adams",Investment Bank,Mid-Atlantic,1500
5084,"Rodriguez, Brennan and Garrison",Mid Cap Public,Texas/Central,1500
5085,Gonzalez Group,Private Equity,Southeast,150
5086,Torres-Pope,Investment Bank,Southeast,150
5087,Walker Ltd,Large Cap Public,Northeast,3000
5088,Ross LLC,Investment Bank,Midwest,800
5089,Rasmussen LLC,Investment Bank,Southeast,8000
5090,May-Ross,Fund/Asset Manager,Northeast,3000
5091,"Rivera, Johnson and Wiley",Fund/Asset Manager,Texas/Central,50
5092,White-Estes,Large Cap Public,Southeast,3000
5093,Johnson-Carlson,Pre-IPO / Private,Northeast,150
5094,Chandler-Edwards,Mid Cap Public,Mid-Atlantic,1500
5095,"Joyce, Wilson and Lam",Investment Bank,Mid-Atlantic,800
5096,Scott Ltd,Mid Cap Public,Midwest,800
5097,Smith-Frost,Mid Cap Public,Northeast,800
5098,"Mcdaniel, Bentley and Mclaughlin",Private Equity,Northeast,50
5099,Diaz Inc,Fund/Asset Manager,West,8000
5100,"Mccall, Hanson and Alvarado",Large Cap Public,Northeast,8000
5101,Cortez LLC,Mid Cap Public,Mid-Atlantic,800
5102,"Parker, Ortiz and Powell",Investment Bank,Southeast,150
5103,Spencer-Lee,Investment Bank,Northeast,150
5104,"Bentley, Byrd and Orr",Investment Bank,Northeast,800
5105,"Carroll, Sullivan and Bass",Pre-IPO / Private,Southeast,400
