month,division,active_customers,total_arr,mrr,arpu,fiscal_quarter
2024-07-01,ActiveDisclosure,0,0.0,0.0,0.0,FY2024-Q3
2024-08-01,ActiveDisclosure,0,0.0,0.0,0.0,FY2024-Q3
2024-09-01,ActiveDisclosure,0,0.0,0.0,0.0,FY2024-Q3
2024-10-01,ActiveDisclosure,3,186183.45,15515.29,62061.15,FY2024-Q4
2024-11-01,ActiveDisclosure,11,744792.56,62066.05,67708.41,FY2024-Q4
2024-12-01,ActiveDisclosure,17,1160472.36,96706.03,68263.08,FY2024-Q4
2025-01-01,ActiveDisclosure,28,1797003.53,149750.29,64178.7,FY2025-Q1
2025-02-01,ActiveDisclosure,41,2733501.77,227791.81,66670.77,FY2025-Q1
2025-03-01,ActiveDisclosure,48,3065308.23,255442.35,63860.59,FY2025-Q1
2025-04-01,ActiveDisclosure,57,3710949.57,309245.8,65104.38,FY2025-Q2
2025-05-01,ActiveDisclosure,68,4632090.83,386007.57,68118.98,FY2025-Q2
2025-06-01,ActiveDisclosure,73,4850451.89,404204.32,66444.55,FY2025-Q2
2025-07-01,ActiveDisclosure,76,5115131.18,426260.93,67304.36,FY2025-Q3
2025-08-01,ActiveDisclosure,77,5228635.64,435719.64,67904.36,FY2025-Q3
2025-09-01,ActiveDisclosure,80,5504318.88,458693.24,68803.99,FY2025-Q3
2025-10-01,ActiveDisclosure,83,5638993.0,469916.08,67939.67,FY2025-Q4
2025-11-01,ActiveDisclosure,83,5638993.0,469916.08,67939.67,FY2025-Q4
2025-12-01,ActiveDisclosure,88,6018456.32,501538.03,68391.55,FY2025-Q4
2026-01-01,ActiveDisclosure,94,6481329.39,540110.78,68950.31,FY2026-Q1
2026-02-01,ActiveDisclosure,98,6856708.86,571392.4,69966.42,FY2026-Q1
2026-03-01,ActiveDisclosure,107,7614043.95,634503.66,71159.29,FY2026-Q1
2026-04-01,ActiveDisclosure,113,8034369.05,669530.75,71100.61,FY2026-Q2
2026-05-01,ActiveDisclosure,122,8772395.87,731032.99,71904.88,FY2026-Q2
2026-06-01,ActiveDisclosure,123,8856113.15,738009.43,72000.92,FY2026-Q2
2024-07-01,Arc Suite,0,0.0,0.0,0.0,FY2024-Q3
2024-08-01,Arc Suite,0,0.0,0.0,0.0,FY2024-Q3
2024-09-01,Arc Suite,0,0.0,0.0,0.0,FY2024-Q3
2024-10-01,Arc Suite,2,135642.3,11303.53,67821.15,FY2024-Q4
2024-11-01,Arc Suite,3,135642.3,11303.53,45214.1,FY2024-Q4
2024-12-01,Arc Suite,6,190046.28,15837.19,31674.38,FY2024-Q4
2025-01-01,Arc Suite,15,633610.6,52800.88,42240.71,FY2025-Q1
2025-02-01,Arc Suite,16,689782.88,57481.91,43111.43,FY2025-Q1
2025-03-01,Arc Suite,19,932986.12,77748.84,49104.53,FY2025-Q1
2025-04-01,Arc Suite,18,932986.12,77748.84,51832.56,FY2025-Q2
2025-05-01,Arc Suite,29,1577293.14,131441.1,54389.42,FY2025-Q2
2025-06-01,Arc Suite,38,2126775.1,177231.26,55967.77,FY2025-Q2
2025-07-01,Arc Suite,42,2314315.39,192859.62,55102.75,FY2025-Q3
2025-08-01,Arc Suite,43,2373196.97,197766.41,55190.63,FY2025-Q3
2025-09-01,Arc Suite,45,2489667.28,207472.27,55325.94,FY2025-Q3
2025-10-01,Arc Suite,46,2535597.0,211299.75,55121.67,FY2025-Q4
2025-11-01,Arc Suite,46,2556767.3,213063.94,55581.9,FY2025-Q4
2025-12-01,Arc Suite,47,2608008.75,217334.06,55489.55,FY2025-Q4
2026-01-01,Arc Suite,48,2628008.75,219000.73,54750.18,FY2026-Q1
2026-02-01,Arc Suite,49,2683248.67,223604.06,54760.18,FY2026-Q1
2026-03-01,Arc Suite,47,2683248.67,223604.06,57090.4,FY2026-Q1
2026-04-01,Arc Suite,50,2897970.51,241497.54,57959.41,FY2026-Q2
2026-05-01,Arc Suite,50,2958623.62,246551.97,59172.47,FY2026-Q2
2026-06-01,Arc Suite,52,3040382.99,253365.25,58468.9,FY2026-Q2
