month,division,channel,spend,sourced_leads,sourced_opps,sourced_wins,fiscal_quarter
2024-07-01,ActiveDisclosure,Inbound / Content,19242.1,20,4,1,FY2024-Q3
2024-07-01,ActiveDisclosure,Outbound / SDR,29689.76,16,2,0,FY2024-Q3
2024-07-01,ActiveDisclosure,Events / Conferences,21991.71,28,8,3,FY2024-Q3
2024-07-01,ActiveDisclosure,Partner / Referral,7986.85,12,5,1,FY2024-Q3
2024-07-01,ActiveDisclosure,Paid Digital,13855.3,5,0,0,FY2024-Q3
2024-08-01,ActiveDisclosure,Inbound / Content,14656.54,11,2,0,FY2024-Q3
2024-08-01,ActiveDisclosure,Outbound / SDR,31650.3,14,2,0,FY2024-Q3
2024-08-01,ActiveDisclosure,Events / Conferences,17970.01,17,5,2,FY2024-Q3
2024-08-01,ActiveDisclosure,Partner / Referral,6410.46,9,3,1,FY2024-Q3
2024-08-01,ActiveDisclosure,Paid Digital,13579.49,6,0,0,FY2024-Q3
2024-09-01,ActiveDisclosure,Inbound / Content,16117.76,15,3,1,FY2024-Q3
2024-09-01,ActiveDisclosure,Outbound / SDR,30409.72,13,1,0,FY2024-Q3
2024-09-01,ActiveDisclosure,Events / Conferences,21105.46,24,7,3,FY2024-Q3
2024-09-01,ActiveDisclosure,Partner / Referral,7117.88,9,3,1,FY2024-Q3
2024-09-01,ActiveDisclosure,Paid Digital,11667.13,5,0,0,FY2024-Q3
2024-10-01,ActiveDisclosure,Inbound / Content,17299.49,14,3,1,FY2024-Q4
2024-10-01,ActiveDisclosure,Outbound / SDR,27626.41,16,2,0,FY2024-Q4
2024-10-01,ActiveDisclosure,Events / Conferences,21775.57,23,6,2,FY2024-Q4
2024-10-01,ActiveDisclosure,Partner / Referral,8093.69,11,4,2,FY2024-Q4
2024-10-01,ActiveDisclosure,Paid Digital,11580.95,6,0,0,FY2024-Q4
2024-11-01,ActiveDisclosure,Inbound / Content,18740.72,13,2,0,FY2024-Q4
2024-11-01,ActiveDisclosure,Outbound / SDR,30193.14,16,2,0,FY2024-Q4
2024-11-01,ActiveDisclosure,Events / Conferences,19688.16,18,5,1,FY2024-Q4
2024-11-01,ActiveDisclosure,Partner / Referral,6617.63,10,4,1,FY2024-Q4
2024-11-01,ActiveDisclosure,Paid Digital,14367.8,5,0,0,FY2024-Q4
2024-12-01,ActiveDisclosure,Inbound / Content,18011.01,17,3,1,FY2024-Q4
2024-12-01,ActiveDisclosure,Outbound / SDR,32495.73,14,2,0,FY2024-Q4
2024-12-01,ActiveDisclosure,Events / Conferences,24821.87,31,9,3,FY2024-Q4
2024-12-01,ActiveDisclosure,Partner / Referral,8487.76,12,5,3,FY2024-Q4
2024-12-01,ActiveDisclosure,Paid Digital,13359.9,5,0,0,FY2024-Q4
2025-01-01,ActiveDisclosure,Inbound / Content,17555.83,16,3,1,FY2025-Q1
2025-01-01,ActiveDisclosure,Outbound / SDR,38547.9,20,3,0,FY2025-Q1
2025-01-01,ActiveDisclosure,Events / Conferences,24083.71,28,8,4,FY2025-Q1
2025-01-01,ActiveDisclosure,Partner / Referral,7704.92,13,5,2,FY2025-Q1
2025-01-01,ActiveDisclosure,Paid Digital,13076.79,5,0,0,FY2025-Q1
2025-02-01,ActiveDisclosure,Inbound / Content,20346.03,18,3,1,FY2025-Q1
2025-02-01,ActiveDisclosure,Outbound / SDR,31381.97,18,2,0,FY2025-Q1
2025-02-01,ActiveDisclosure,Events / Conferences,22379.41,22,6,2,FY2025-Q1
2025-02-01,ActiveDisclosure,Partner / Referral,8536.79,13,5,3,FY2025-Q1
2025-02-01,ActiveDisclosure,Paid Digital,15470.18,7,0,0,FY2025-Q1
2025-03-01,ActiveDisclosure,Inbound / Content,21557.13,20,4,1,FY2025-Q1
2025-03-01,ActiveDisclosure,Outbound / SDR,35052.22,18,2,0,FY2025-Q1
2025-03-01,ActiveDisclosure,Events / Conferences,27113.21,36,10,3,FY2025-Q1
2025-03-01,ActiveDisclosure,Partner / Referral,8677.45,12,5,2,FY2025-Q1
2025-03-01,ActiveDisclosure,Paid Digital,14971.55,6,0,0,FY2025-Q1
2025-04-01,ActiveDisclosure,Inbound / Content,18484.8,17,3,1,FY2025-Q2
2025-04-01,ActiveDisclosure,Outbound / SDR,31936.37,16,2,0,FY2025-Q2
2025-04-01,ActiveDisclosure,Events / Conferences,22004.59,21,6,2,FY2025-Q2
