opp_id,account_id,account_name,segment,division,rep_id,is_cross_division_deal,region,created_date,close_date,stage,probability,amount,is_closed,is_won,is_renewal,loss_reason,competitor,is_stalled,sales_cycle_days_actual,fiscal_quarter
100000,5152,Wells Inc,Large Cap Public,ActiveDisclosure,1001,False,Northeast,2026-02-13,2026-05-01,Closed Won,100,67644.09,True,True,True,,,False,77.0,FY2026-Q2
100001,5389,Thomas and Sons,Large Cap Public,ActiveDisclosure,1004,False,Texas/Central,2025-08-29,2025-11-19,Closed Lost,0,49432.51,True,False,False,No Decision / Stalled,In-house Build,False,82.0,FY2025-Q4
100002,5336,"Phillips, Wagner and Jordan",Large Cap Public,ActiveDisclosure,1003,False,Southeast,2024-12-15,2025-01-30,Closed Lost,0,61440.51,True,False,True,No Decision / Stalled,Toppan Merrill,False,46.0,FY2025-Q1
100003,5173,White-Lewis,Large Cap Public,ActiveDisclosure,1000,False,Midwest,2024-10-25,2024-12-23,Closed Won,100,84006.28,True,True,False,,,False,59.0,FY2024-Q4
100004,5295,"Ramsey, Whitney and Coffey",Pre-IPO / Private,ActiveDisclosure,1003,False,Mid-Atlantic,2026-01-21,2026-04-02,Closed Won,100,78194.12,True,True,True,,,False,71.0,FY2026-Q2
100005,5051,"Hensley, Powell and David",Large Cap Public,ActiveDisclosure,1005,False,Midwest,2026-05-19,2026-06-26,Closed Lost,0,77525.83,True,False,False,Price,Toppan Merrill,False,38.0,FY2026-Q2
100006,5117,Stafford Inc,Large Cap Public,ActiveDisclosure,1004,False,Texas/Central,2026-03-26,2026-06-12,Closed Lost,0,47496.98,True,False,True,Timing - Not Ready,Intralinks,False,78.0,FY2026-Q2
100007,5118,Robinson-Brock,Mid Cap Public,ActiveDisclosure,1002,False,Southeast,2025-10-18,2026-02-08,Closed Lost,0,99502.28,True,False,False,Price,Intralinks,False,113.0,FY2026-Q1
100008,5128,"Mitchell, Nelson and Flores",Large Cap Public,ActiveDisclosure,1020,True,Northeast,2024-10-26,2025-01-19,Closed Won,100,37249.05,True,True,True,,,False,85.0,FY2025-Q1
100009,5209,"Hall, Baker and Moody",Mid Cap Public,ActiveDisclosure,1003,False,Mid-Atlantic,2026-05-01,2026-07-29,Proposal,60,42538.3,False,,True,,,False,,FY2026-Q3
100010,5335,"Kelley, Nguyen and Vang",Pre-IPO / Private,ActiveDisclosure,1001,False,Southeast,2025-07-14,2025-08-26,Closed Lost,0,93387.13,True,False,False,Price,Toppan Merrill,False,43.0,FY2025-Q3
100011,5413,Rangel LLC,Large Cap Public,ActiveDisclosure,1003,False,Midwest,2025-08-11,2025-10-31,Closed Won,100,67183.28,True,True,False,,,False,81.0,FY2025-Q4
