fiscal_quarter,division,forecast_committed,forecast_best_case,actual_bookings,variance_pct
FY2024-Q3,ActiveDisclosure,232669.5,283167.26,234631.62,0.8
FY2024-Q3,Venue,514137.6,619657.21,577132.74,12.3
FY2024-Q3,Arc Suite,140598.93,161708.09,113680.02,-19.1
FY2024-Q4,ActiveDisclosure,1725244.51,1930677.41,1606381.51,-6.9
FY2024-Q4,Venue,4092602.83,4732626.08,4027099.18,-1.6
FY2024-Q4,Arc Suite,675145.23,760854.17,706191.12,4.6
FY2025-Q1,ActiveDisclosure,2105867.57,2612003.66,2489732.31,18.2
FY2025-Q1,Venue,2651066.22,3083527.54,3131257.74,18.1
FY2025-Q1,Arc Suite,500499.63,576599.04,536995.75,7.3
FY2025-Q2,ActiveDisclosure,2163454.11,2352206.8,2274555.21,5.1
FY2025-Q2,Venue,2404362.9,2602078.31,2341304.15,-2.6
FY2025-Q2,Arc Suite,1731687.33,1898903.93,1734354.1,0.2
FY2025-Q3,ActiveDisclosure,819510.06,986321.1,710301.23,-13.3
FY2025-Q3,Venue,2365782.74,2702342.45,2346875.03,-0.8
FY2025-Q3,Arc Suite,618340.4,679097.52,671352.58,8.6
FY2025-Q4,ActiveDisclosure,986847.0,1165236.42,1210482.88,22.7
FY2025-Q4,Venue,3401359.99,4175623.61,3931857.79,15.6
FY2025-Q4,Arc Suite,723871.55,795093.91,623070.88,-13.9
FY2026-Q1,ActiveDisclosure,2057219.27,2341654.99,1934589.75,-6.0
FY2026-Q1,Venue,2518337.34,2745834.91,2650223.39,5.2
FY2026-Q1,Arc Suite,706784.56,773472.48,722556.71,2.2
FY2026-Q2,ActiveDisclosure,2733037.35,3187874.14,2554883.31,-6.5
FY2026-Q2,Venue,3288098.98,3779537.47,2880192.52,-12.4
FY2026-Q2,Arc Suite,1125509.15,1235002.39,1147102.28,1.9
FY2026-Q3,ActiveDisclosure,0.0,0.0,0.0,
FY2026-Q3,Venue,0.0,0.0,0.0,
FY2026-Q3,Arc Suite,0.0,0.0,0.0,
FY2026-Q4,ActiveDisclosure,0.0,0.0,0.0,
FY2026-Q4,Venue,0.0,0.0,0.0,
FY2026-Q4,Arc Suite,0.0,0.0,0.0,
