fiscal_quarter,division,starting_arr,new_arr,expansion_arr,contraction_arr,churn_arr,ending_arr,nrr_pct,grr_pct
FY2024-Q3,ActiveDisclosure,0.0,252358.75,0.0,0.0,0.0,252358.75,,
FY2024-Q4,ActiveDisclosure,252358.75,1525920.59,0.0,0.0,0.0,1778279.34,100.0,100.0
FY2025-Q1,ActiveDisclosure,1778279.33,2115599.1,0.0,0.0,0.0,3893878.43,100.0,100.0
FY2025-Q2,ActiveDisclosure,3893878.43,1439897.08,0.0,0.0,-63874.43,5269901.08,98.4,98.4
FY2025-Q3,ActiveDisclosure,5269901.06,523861.82,8056.47,0.0,-161398.87,5640420.47,97.1,96.9
FY2025-Q4,ActiveDisclosure,5632364.01,842336.4,43820.4,-21960.84,0.0,6496559.97,100.4,99.6
FY2026-Q1,ActiveDisclosure,6474700.4,1553039.66,66667.58,-34609.76,-74231.76,7985566.12,99.3,98.3
FY2026-Q2,ActiveDisclosure,7953508.3,1091823.51,40381.41,-21494.5,0.0,9064218.71,100.2,99.7
FY2024-Q3,Arc Suite,0.0,139187.58,0.0,0.0,0.0,139187.58,,
FY2024-Q4,Arc Suite,139187.58,685558.78,0.0,0.0,0.0,824746.36,100.0,100.0
FY2025-Q1,Arc Suite,824746.37,277157.64,0.0,0.0,0.0,1101904.01,100.0,100.0
FY2025-Q2,Arc Suite,1101904.01,1397663.45,0.0,0.0,-31660.33,2467907.13,97.1,97.1
FY2025-Q3,Arc Suite,2467907.11,221281.6,0.0,-3545.28,0.0,2685643.43,99.9,99.9
FY2025-Q4,Arc Suite,2689188.72,92411.74,4808.19,0.0,-40694.14,2745714.52,98.7,98.5
FY2026-Q1,Arc Suite,2740906.33,269961.76,22217.88,0.0,-90493.83,2942592.13,97.5,96.7
FY2026-Q2,Arc Suite,2920374.26,391215.68,37166.07,-7921.12,-75129.51,3265705.38,98.4,97.2
