subscription_id,account_id,account_name,division,segment,region,subscription_start,subscription_end,initial_arr,current_arr,mrr,status,cohort_quarter,gross_margin_pct,months_active
20000,5155,"Higgins, Strickland and Martin",ActiveDisclosure,Mid Cap Public,Southeast,2024-09-13,,64868.11,64868.11,5405.68,Active,FY2024-Q3,0.74,22
20001,5023,Walker LLC,ActiveDisclosure,Pre-IPO / Private,Texas/Central,2024-09-20,,113258.88,121315.34,10109.61,Active,FY2024-Q3,0.74,22
20002,5375,Jones-Hensley,ActiveDisclosure,Large Cap Public,Mid-Atlantic,2024-09-22,2026-02-01,74231.76,0.0,0.0,Churned,FY2024-Q3,0.74,17
20003,5266,"Brennan, Wallace and Benson",ActiveDisclosure,Large Cap Public,Mid-Atlantic,2024-10-02,,97255.86,97255.86,8104.66,Active,FY2024-Q4,0.74,21
20004,5087,Walker Ltd,ActiveDisclosure,Large Cap Public,Northeast,2024-10-13,,64598.32,64598.32,5383.19,Active,FY2024-Q4,0.74,21
20005,5052,"Sanchez, Wheeler and Harvey",ActiveDisclosure,Mid Cap Public,Southeast,2024-10-16,,66481.32,66481.32,5540.11,Active,FY2024-Q4,0.74,21
20006,5050,Jones Inc,ActiveDisclosure,Pre-IPO / Private,Texas/Central,2024-10-16,,84613.97,84613.97,7051.16,Active,FY2024-Q4,0.74,21
20007,5105,"Carroll, Sullivan and Bass",ActiveDisclosure,Pre-IPO / Private,Southeast,2024-10-21,,86164.23,86164.23,7180.35,Active,FY2024-Q4,0.74,21
20008,5178,"Alvarez, Joseph and West",ActiveDisclosure,Large Cap Public,Northeast,2024-10-23,,65512.48,75170.5,6264.21,Active,FY2024-Q4,0.74,21
20009,5190,Williams-Brown,ActiveDisclosure,Large Cap Public,Texas/Central,2024-10-26,,20000.0,20000.0,1666.67,Active,FY2024-Q4,0.74,21
20010,5448,Scott and Sons,ActiveDisclosure,Pre-IPO / Private,Southeast,2024-10-28,,64324.91,64324.91,5360.41,Active,FY2024-Q4,0.74,21
20011,5282,"Beltran, Lozano and Mcgee",ActiveDisclosure,Large Cap Public,West,2024-11-05,,83078.76,75939.91,6328.33,Active,FY2024-Q4,0.74,20
20012,5022,"Brooks, Lam and Hayes",ActiveDisclosure,Pre-IPO / Private,Mid-Atlantic,2024-11-08,,68517.0,68517.0,5709.75,Active,FY2024-Q4,0.74,20
20013,5049,Yu Inc,ActiveDisclosure,Large Cap Public,Texas/Central,2024-11-14,,78036.43,78036.43,6503.04,Active,FY2024-Q4,0.74,20
20014,5058,"Ferrell, Jones and Lewis",ActiveDisclosure,Mid Cap Public,West,2024-11-23,,73950.84,69334.66,5777.89,Active,FY2024-Q4,0.74,20
20015,5207,"Harrison, Johnson and Roberts",ActiveDisclosure,Pre-IPO / Private,Northeast,2024-11-29,,36429.82,36429.82,3035.82,Active,FY2024-Q4,0.74,20
20016,5454,"Andrews, Higgins and Carter",ActiveDisclosure,Mid Cap Public,Southeast,2024-11-29,,87421.98,87421.98,7285.16,Active,FY2024-Q4,0.74,20
20017,5169,"Adams, Christian and Rivas",ActiveDisclosure,Mid Cap Public,Southeast,2024-12-12,,55238.2,55238.2,4603.18,Active,FY2024-Q4,0.74,19
20018,5121,"Schmidt, Hansen and Stewart",ActiveDisclosure,Large Cap Public,Southeast,2024-12-12,,56965.56,71619.13,5968.26,Active,FY2024-Q4,0.74,19
20019,5444,Moody-Taylor,ActiveDisclosure,Large Cap Public,Southeast,2024-12-15,,81000.97,70795.16,5899.6,Active,FY2024-Q4,0.74,19
20020,5077,Nolan and Sons,ActiveDisclosure,Mid Cap Public,West,2024-12-21,,51904.44,60661.9,5055.16,Active,FY2024-Q4,0.74,19
20021,5021,"Harris, Collins and Carney",ActiveDisclosure,Pre-IPO / Private,Mid-Atlantic,2024-12-22,,73758.62,73758.62,6146.55,Active,FY2024-Q4,0.74,19
20022,5173,White-Lewis,ActiveDisclosure,Large Cap Public,Midwest,2024-12-23,,49172.5,49172.5,4097.71,Active,FY2024-Q4,0.74,19
20023,5302,Reid Group,ActiveDisclosure,Pre-IPO / Private,Midwest,2024-12-25,2025-05-01,63874.43,0.0,0.0,Churned,FY2024-Q4,0.74,5
20024,5073,"Patterson, Smith and Jones",ActiveDisclosure,Pre-IPO / Private,Southeast,2024-12-26,,59783.3,59783.3,4981.94,Active,FY2024-Q4,0.74,19
20025,5157,Johnston-Odonnell,ActiveDisclosure,Large Cap Public,Midwest,2024-12-30,,57836.64,68587.99,5715.67,Active,FY2024-Q4,0.74,19
20026,5101,Cortez LLC,ActiveDisclosure,Mid Cap Public,Mid-Atlantic,2025-01-01,,50037.75,68916.98,5743.08,Active,FY2025-Q1,0.74,18
